input_points,nonfinite_removed,too_near_removed,too_far_removed,total_removed,output_points,drop_rate_pct,seq,frame_id
124668,0,0,0,0,124668,0.0,00,000000
124605,0,0,0,0,124605,0.0,00,000001
124478,0,0,0,0,124478,0.0,00,000002
124167,0,0,0,0,124167,0.0,00,000003
123969,0,0,0,0,123969,0.0,00,000004
123924,0,0,0,0,123924,0.0,00,000005
123373,0,0,0,0,123373,0.0,00,000006
122765,0,0,0,0,122765,0.0,00,000007
122123,0,0,0,0,122123,0.0,00,000008
121357,0,0,0,0,121357,0.0,00,000009
121018,0,0,0,0,121018,0.0,00,000010
120945,0,0,0,0,120945,0.0,00,000011
120503,0,0,0,0,120503,0.0,00,000012
120295,0,0,0,0,120295,0.0,00,000013
120406,0,0,0,0,120406,0.0,00,000014
121023,0,0,0,0,121023,0.0,00,000015
121842,0,0,0,0,121842,0.0,00,000016
123107,0,0,0,0,123107,0.0,00,000017
123940,0,0,0,0,123940,0.0,00,000018
124301,0,0,0,0,124301,0.0,00,000019
124553,0,0,0,0,124553,0.0,00,000020
124656,0,0,0,0,124656,0.0,00,000021
124644,0,0,0,0,124644,0.0,00,000022
124526,0,0,0,0,124526,0.0,00,000023
124520,0,0,0,0,124520,0.0,00,000024
124600,0,0,0,0,124600,0.0,00,000025
124550,0,0,0,0,124550,0.0,00,000026
124242,0,0,0,0,124242,0.0,00,000027
124163,0,0,0,0,124163,0.0,00,000028
124018,0,0,0,0,124018,0.0,00,000029
124134,0,0,0,0,124134,0.0,00,000030
124140,0,0,0,0,124140,0.0,00,000031
123932,0,0,0,0,123932,0.0,00,000032
123826,0,0,0,0,123826,0.0,00,000033
123502,0,0,0,0,123502,0.0,00,000034
123006,0,0,0,0,123006,0.0,00,000035
122749,0,0,0,0,122749,0.0,00,000036
122379,0,0,0,0,122379,0.0,00,000037
121738,0,0,0,0,121738,0.0,00,000038
121497,0,0,0,0,121497,0.0,00,000039
121148,0,0,0,0,121148,0.0,00,000040
120359,0,0,0,0,120359,0.0,00,000041
119454,0,0,0,0,119454,0.0,00,000042
118399,0,0,0,0,118399,0.0,00,000043
116881,0,0,0,0,116881,0.0,00,000044
114496,0,0,0,0,114496,0.0,00,000045
113139,0,0,0,0,113139,0.0,00,000046
113810,0,0,0,0,113810,0.0,00,000047
115974,0,0,0,0,115974,0.0,00,000048
117156,0,0,0,0,117156,0.0,00,000049
118636,0,0,0,0,118636,0.0,00,000050
119830,0,0,0,0,119830,0.0,00,000051
120796,0,0,0,0,120796,0.0,00,000052
121891,0,0,0,0,121891,0.0,00,000053
122639,0,0,0,0,122639,0.0,00,000054
123343,0,0,0,0,123343,0.0,00,000055
123232,0,0,0,0,123232,0.0,00,000056
123130,0,0,0,0,123130,0.0,00,000057
122929,0,0,0,0,122929,0.0,00,000058
122703,0,0,0,0,122703,0.0,00,000059
122569,0,0,0,0,122569,0.0,00,000060
122161,0,0,0,0,122161,0.0,00,000061
121732,0,0,0,0,121732,0.0,00,000062
120696,0,0,0,0,120696,0.0,00,000063
120938,0,0,0,0,120938,0.0,00,000064
121051,0,0,0,0,121051,0.0,00,000065
121199,0,0,0,0,121199,0.0,00,000066
121116,0,0,0,0,121116,0.0,00,000067
121081,0,0,0,0,121081,0.0,00,000068
121097,0,0,0,0,121097,0.0,00,000069
120793,0,0,0,0,120793,0.0,00,000070
120492,0,0,0,0,120492,0.0,00,000071
120282,0,0,0,0,120282,0.0,00,000072
120036,0,0,0,0,120036,0.0,00,000073
119747,0,0,0,0,119747,0.0,00,000074
119053,0,0,0,0,119053,0.0,00,000075
118742,0,0,0,0,118742,0.0,00,000076
118174,0,0,0,0,118174,0.0,00,000077
117478,0,0,0,0,117478,0.0,00,000078
117445,0,0,0,0,117445,0.0,00,000079
117412,0,0,0,0,117412,0.0,00,000080
117740,0,0,0,0,117740,0.0,00,000081
